index,lat,lon,avg_pm25,risk
479,30.275,78.02,30.354331236897277,LOW
480,30.3058,77.9958,18.319446540880502,LOW
481,30.36,77.98,28.735274633123687,LOW
482,30.35,78.055,24.164364779874212,LOW
483,30.3121,78.0432,34.383677148846964,LOW
484,30.3272,78.0612,18.839366876310272,LOW
485,30.3348,77.9962,33.29519077568134,LOW
486,30.3215,78.041,26.871486373165617,LOW
487,30.362,78.048,23.10503983228512,LOW
488,30.385,78.065,25.9197106918239,LOW
489,29.9582,78.1642,23.310075471698113,LOW
490,29.92,78.14,34.75327463312369,LOW
491,29.945,78.155,22.17938155136268,LOW
492,29.98,78.135,25.075744234800844,LOW
493,29.965,78.12,25.248872117400417,LOW
494,29.946,78.162,22.17938155136268,LOW
495,29.93,78.15,17.09061215932914,LOW
496,29.91,78.125,35.5919748427673,LOW
497,30.127,78.324,21.078775681341718,LOW
498,30.1058,78.2983,21.358999999999998,LOW
